timestamp,src_ip,src_port,dest_ip,dest_port,protocol,signature,severity
"2026-06-22T20:47:13.576831-0400","10.0.2.15","58908","10.0.2.15","502","TCP","Modbus traffic detected","3"
"2026-06-22T20:47:14.579133-0400","10.0.2.15","58910","10.0.2.15","502","TCP","Modbus traffic detected","3"
